Date,ob,oe
10/9/2018,6653.080078,229.710007
10/10/2018,6640.290039,227.615005
10/11/2018,6586.740234,225.610001
10/12/2018,6239.25,188.707001
10/13/2018,6278.080078,196.363998
10/14/2018,6288.490234,199.690994
10/15/2018,6292.640137,195.270004
10/16/2018,6601.410156,209.628006
10/17/2018,6590.52002,210.216995
10/18/2018,6542.330078,207.404007
10/19/2018,6478.069824,203.257004
10/20/2018,6460.919922,203.514999
10/21/2018,6490.089844,205.389999
10/22/2018,6486.049805,205.173996
10/23/2018,6472.359863,204.016006
10/24/2018,6478.890137,204.126999
10/25/2018,6484.649902,203.867996
10/26/2018,6468.439941,202.335999
10/27/2018,6480.839844,203.356003
10/28/2018,6482.660156,204.509995
10/29/2018,6492.350098,205.173996
10/30/2018,6337.040039,197.203003
10/31/2018,6336.990234,197.649002
11/1/2018,6318.140137,197.537003
11/2/2018,6378.919922,198.981995
11/3/2018,6387.240234,200.740005
11/4/2018,6365.470215,200.158005
11/5/2018,6363.620117,207.100006
11/6/2018,6433.379883,209.473999
11/7/2018,6468.5,218.899002
11/8/2018,6522.27002,217.326996
11/9/2018,6442.600098,211.987
11/10/2018,6386.129883,209.975006
11/11/2018,6413.629883,212.479004
11/12/2018,6411.759766,211.513
11/13/2018,6373.189941,210.149002
11/14/2018,6351.240234,206.533997
11/15/2018,5736.149902,181.899002
11/16/2018,5645.319824,180.865005
11/17/2018,5578.580078,175.360001
11/18/2018,5559.740234,174.175003
11/19/2018,5620.779785,177.179001
11/20/2018,4863.930176,148.811005
11/21/2018,4465.540039,131.141998
11/22/2018,4611.569824,136.811005
11/23/2018,4360.700195,126.418999
11/24/2018,4347.689941,123.304001
11/25/2018,3880.780029,113.125999
11/26/2018,4015.070068,116.343002
11/27/2018,3765.949951,107.913002
11/28/2018,3822.469971,110.197998
11/29/2018,4269.004395,122.72155
11/30/2018,4289.088867,117.728096
12/1/2018,4024.464355,113.397758
12/2/2018,4200.733398,118.26815
12/3/2018,4147.32373,116.378761
12/4/2018,3886.294922,108.803162
12/5/2018,3958.894775,110.335518
12/6/2018,3754.074463,102.450592
12/7/2018,3512.590332,91.649834
12/8/2018,3421.9104,93.41008
12/9/2018,3473.227539,92.035431
12/10/2018,3612.046387,94.992172
12/11/2018,3497.554688,91.578934
12/12/2018,3421.458252,88.610703
12/13/2018,3487.879395,90.655228
12/14/2018,3311.751953,86.630356
12/15/2018,3243.997559,84.279694
12/16/2018,3236.274658,84.469406
12/17/2018,3253.123047,85.382111
12/18/2018,3544.761475,95.10804
12/19/2018,3706.824951,101.683846
12/20/2018,3742.195068,101.090439
12/21/2018,4133.703613,115.835403
12/22/2018,3898.08374,109.45594
12/23/2018,4020.994629,117.273895
12/24/2018,4000.331787,130.641663
12/25/2018,4081.030518,140.997589
12/26/2018,3819.666748,129.888824
12/27/2018,3854.688477,131.923584
12/28/2018,3653.131836,116.898201
12/29/2018,3932.491699,138.468781
12/30/2018,3822.384766,137.627457
12/31/2018,3866.839111,140.031067
1/1/2019,3746.713379,133.418152
1/2/2019,3849.216309,141.519516
1/3/2019,3931.048584,155.196045
1/4/2019,3832.040039,148.912888
1/5/2019,3851.973877,154.337418
1/6/2019,3836.519043,155.80423
1/7/2019,4078.584961,157.809494
1/8/2019,4028.472168,151.967545
1/9/2019,4031.552002,150.554688
1/10/2019,4034.411377,150.843506
1/11/2019,3674.015381,127.813965
1/12/2019,3686.973145,127.528084
1/13/2019,3658.868164,125.907227
1/14/2019,3557.311035,116.979095
1/15/2019,3704.216309,129.172684
1/16/2019,3631.509766,121.809242
1/17/2019,3651.871094,123.57354
1/18/2019,3677.990479,123.654655
1/19/2019,3652.37793,121.614426
1/20/2019,3725.446045,124.632401
1/21/2019,3600.372803,119.636459
1/22/2019,3575.081299,117.110756
1/23/2019,3605.557129,118.713814
1/24/2019,3584.500244,117.462784
1/25/2019,3607.390381,117.594955
1/26/2019,3599.715332,116.373528
1/27/2019,3604.687256,116.510315
1/28/2019,3584.283203,113.285233
1/29/2019,3468.870117,106.721954
1/30/2019,3443.896973,105.407204
1/31/2019,3485.40918,108.900772
2/1/2019,3460.547119,107.147682
2/2/2019,3484.625977,107.466415
2/3/2019,3516.139648,110.490318
2/4/2019,3467.21167,107.625824
2/5/2019,3454.950928,107.628166
2/6/2019,3469.091797,107.569305
2/7/2019,3414.929443,104.835777
2/8/2019,3401.376465,104.64505
2/9/2019,3671.585938,119.214111
2/10/2019,3673.201416,119.408966
2/11/2019,3695.613037,124.871536
2/12/2019,3642.751953,121.178574
2/13/2019,3653.604004,122.544289
2/14/2019,3631.170166,122.416985
2/15/2019,3617.368408,121.453697
2/16/2019,3615.270264,122.396454
2/17/2019,3633.359375,123.182083
2/18/2019,3671.369873,133.032547
2/19/2019,3911.661621,146.398819
2/20/2019,3946.685059,145.172729
2/21/2019,4000.256836,149.352325
2/22/2019,3952.406494,146.073257
2/23/2019,3998.91626,148.67662
2/24/2019,4145.458008,158.902405
2/25/2019,3807.002441,135.499725
2/26/2019,3878.697266,139.646088
2/27/2019,3857.479736,138.029572
2/28/2019,3848.261963,136.283081
3/1/2019,3853.75708,136.836243
3/2/2019,3855.318115,136.350082
3/3/2019,3862.266113,134.786118
3/4/2019,3845.091553,132.157883
3/5/2019,3759.83252,127.792953
3/6/2019,3897.081055,137.95874
3/7/2019,3903.384766,138.942383
3/8/2019,3913.22583,138.311356
3/9/2019,3894.55249,134.887558
3/10/2019,3966.174316,138.180496
3/11/2019,3953.740234,136.849533
3/12/2019,3903.758301,134.012848
3/13/2019,3913.047363,134.611771
3/14/2019,3905.576904,133.203903
3/15/2019,3926.66333,133.567154
3/16/2019,3963.900146,137.911957
3/17/2019,4047.719482,142.238297
3/18/2019,4029.968506,140.104858
3/19/2019,4032.691895,139.254013
3/20/2019,4070.793945,140.484711
3/21/2019,4083.953857,140.478485
3/22/2019,4028.514648,136.562256
3/23/2019,4022.713379,137.039871
3/24/2019,4035.163574,138.315353
3/25/2019,4024.112793,137.08136
3/26/2019,3969.22876,135.054321
3/27/2019,3984.244873,135.454361
3/28/2019,4087.584473,141.005844
3/29/2019,4068.299805,139.343201
3/30/2019,4092.13623,142.359146
3/31/2019,4105.456055,142.139221
4/1/2019,4105.362305,141.465485
